ETORO,LSEG
AAPL,AAPL.OQ
ADBE,ADBE.OQ
ALLY,ALLY.K
AMAT,AMAT.OQ
AMD,AMD.OQ
AMZN,AMZN.OQ
AON,AON.N
ARCB,ARCB.O
ARM,ARM.OQ
ASML,ASML.OQ
AVGO,AVGO.OQ
AXP,AXP.N
BA,BA.N
BA.L,BAES.L
BABA,BABA.K
BAC,BAC.N
BRK.B,BRKb.N
C,C.N
CB,CB.N
CEBP.DE,CEBP.DE
CHRW,CHRW.OQ
CHTR,CHTR.OQ
CNDX.L,CNDX.L
CNI,CNR.TO
COF,COF.N
CP,CP
CRM,CRM.N
CRWD,CRWD.OQ
CSX,CSX.OQ
CVX,CVX.N
DAL,DAL.N
DHL.DE,DHLn.DE
DHT,DHT
DJGTEEX.DE,DJGTEEX.DE
DPZ,DPZ.OQ
DSV,DSV.CO
DVA,DVA.N
EXPD,EXPD.N
FDX,FDX.N
FND,FND
FRO,FRO
GE,GE.N
GNK.US,GNK.N
GOGL.US,GOGL.O
GOOG,GOOG.OQ
GOOGL,GOOGL.OQ
GXO,GXO.N
HUBG,HUBG.O
IAG.l,ICAG.L
ICGA.DE,ICGA.DE
IDEM,IDEM.L
IJPE,IJPE.L
INSW,INSW.K
INTC,INTC.OQ
IUS3.DE,IUS3.DE
JBHT,JBHT.OQ
KEX,KEX
KHC,KHC.OQ
KO,KO.N
KR,KR.N
LLYVA,LLYVA.OQ
LLYVK,LLYVK.OQ
LMT,LMT.N
LPG,LPG.N
LPX,LPX
LSTR,LSTR.O
LSXMA,LSXMA.O^I24
LSXMK,LSXMK.O^I24
MA,MA.N
MAERSKB.CO,MAERSKb.CO
MANH,MANH.OQ
MCO,MCO.N
META,META.OQ
MSFT,MSFT.OQ
MU,MU.OQ
NFLX,NFLX.OQ
NKE,NKE.N
NOW,NOW.N
NSC,NSC.N
NU,NU
NVDA,NVDA.OQ
ODFL,ODFL.OQ
ORCL,ORCL.N
OXY,OXY.N
PANW,PANW.OQ
PDD,PDD.OQ
PLTR,PLTR.OQ
QCOM,QCOM.OQ
R,R
RHM.DE,RHMG.DE
SAF,SAF.PA
SAIA,SAIA.OQ
SBLK,SBLK.O
SIRI,SIRI.O
SNOW,SNOW.K
SOLB.BR,SOLB.BR
SPY4.DE,SPY4.DE
SPY5.L,SPY5.L
STNG,STNG.N
STZ,STZ
SX5EEX.DE,STX50EEX.DE
SXXPIEX.DE,STOXXIEX.DE
TFII,TFII.K
TMO,TMO.N
TMUS,TMUS.OQ
TNK,TNK
TSLA,TSLA.OQ
TSM,TSM.N
UBER,UBER.N
UBS,UBSG.S
UCB.BR,UCB.BR
UNP,UNP.N
UPS,UPS.N
USCP.DE,USCP.DE
V,V.N
VERX.DE,VERX.DE
VIE,VIE.PA
VRSN,VRSN.OQ
VVSM.DE,VVSM.DE
WERN,WERN.OQ
XDEW.DE,XDEW.DE
XPO,XPO
ZPRR.DE,ZPRR.DE